順位,名前,点数
1103,四電工,310
1104,大日本塗料,610
1105,ＮＤＳ,1
1106,若築建設,760
1107,ＷＯＷＯＷ,180
1108,ＥＩＺＯ,1
1109,リケン,500
1110,ヒマラヤ,260
1111,レナウン,230
1112,モリタホールディングス,750
1113,高速,590
1114,京葉銀行,610
1115,信越ポリマー,680
1116,イチネンホールディングス,480
1117,東和薬品,200
1118,日比谷総合設備,420
1119,朝日工業社,430
1120,北野建設,710
1121,マンダム,170
1122,ダンロップスポーツ,730
1123,サカイ引越センター,770
1124,大庄,110
1125,不動テトラ,280
1126,富士古河Ｅ＆Ｃ,300
1127,アルビス,310
1128,タキロン,500
1129,ＵＳＥＮ,1
1130,ホーチキ,230
1131,日本山村硝子,850
1132,双葉電子工業,440
1133,キッセイ薬品工業,790
1134,新日本建設,560
1135,フコク,530
1136,竹内製作所,740
1137,日新商事,320
1138,藤倉化成,640
1139,たけびし,310
1140,住友不動産販売,400
1141,クリエイト・レストランツ・ホールディング,1020
1142,藤井産業,160
1143,アイ・テック,530
1144,ワールドホールディングス,860
1145,オルガノ,250
1146,コナカ,530
1147,神鋼環境ソリューション,1010
1148,積水樹脂,430
1149,岡部,250
1150,久世,250
1151,三井松島産業,560
